ResponseId,EdLevelNum,BinnedSalary_$1K,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp
20753,2 College study,160,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Full in-person,Hobby;Contribute to open-source projects;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Programming Games;Stack Overflow,,14,10,"Engineer, data;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",100 to 499 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",160000,Yearly,C#;F#;JavaScript;TypeScript,C#;F#;Go;Rust;TypeScript,,,Microsoft Azure,AWS;Heroku,ASP.NET Core ,ASP.NET Core ;React.js;Vue.js,.NET;Electron,.NET;Electron,Docker;Yarn,Docker;Kubernetes;Yarn,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Confluence;Jira Work Management;Notion;Trello,Notion;Trello,Microsoft Teams;Zoom,Slack,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Bisexual,Black,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,10
20754,4 Bachelorï¿½ï,110,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;School (i.e., University, College, etc);On the job training;Colleague",,,15,15,"Developer, full-stack",100 to 499 employees,I have some influence,Other (please specify):;Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",110000,Yearly,C#;HTML/CSS;SQL,C#;HTML/CSS;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET Core ,ASP.NET;ASP.NET Core ,.NET,.NET,,,Visual Studio,Visual Studio,Windows,Windows,Git,Code editor,,,,,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Very favorable,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
20756,2 College study,350,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Stack Overflow;Online books;Auditory material (e.g., podcasts)",,24,24,"Developer, front-end;Developer, full-stack;Developer, back-end;Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",I have a great deal of influence,Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",350000,Yearly,Rust;TypeScript,Rust;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,AWS,AWS,Express;Next.js;Node.js,Svelte,React Native,Electron;TensorFlow,Docker;Homebrew;npm,Docker;Homebrew;Kubernetes;npm,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based;macOS,macOS;Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,Notion,,Zoom,Zoom,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not really",45-54 years old,Man,No,Straight / Heterosexual,Asian,None of the above,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",No,,
20761,4 Bachelorï¿½ï,140,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training",Written Tutorials;Written-based Online Courses,,20,8,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",20 to 99 employees,I have little or no influence,,United States of America,"USD	United States dollar",140000,Yearly,C#;HTML/CSS;JavaScript,C#;HTML/CSS,MongoDB,MongoDB,,,ASP.NET;ASP.NET Core ;Blazor,ASP.NET;ASP.NET Core ;Blazor,.NET;Xamarin,.NET;Xamarin,,,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,,,,,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,I am deaf / hard of hearing,None of the above,No,,
20762,4 Bachelorï¿½ï,95,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc)",,,13,9,"Developer, full-stack",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",95000,Yearly,C#,C#,Microsoft SQL Server,Microsoft SQL Server,,,,,.NET,.NET;React Native,,,Visual Studio,Visual Studio,Windows,Windows,Git,Command-line;Version control hosting service web GUI,,,,,Microsoft Teams;Zoom,Microsoft Teams,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,9
20766,4 Bachelorï¿½ï,115,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos,Pluralsight,9,9,"Engineer, data;Developer, desktop or enterprise applications;Database administrator;Designer","10,000 or more employees",I have little or no influence,,United States of America,"USD	United States dollar",115000,Yearly,C#;JavaScript;SQL,C#;JavaScript;Python;Scala;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,,,,,,,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,,,Microsoft Teams,Microsoft Teams,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,10
20767,4 Bachelorï¿½ï,165,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);On the job training",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Interactive tutorial,,17,8,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",165000,Yearly,Bash/Shell;C#;Dart;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell;C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,AWS;Heroku;Microsoft Azure,AWS;Heroku,Angular;ASP.NET Core ;Deno;Express;Node.js;React.js;Vue.js,ASP.NET Core ;Express;Node.js;React.js;Vue.js,.NET;Flutter,.NET;Flutter,npm,npm,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,macOS,Git,Command-line,,,Confluence,,Slack;Zoom,Cisco Webex Teams;Slack,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,8
20792,5 Masterï¿½ï,145,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I donï¿½ï¿½ï¿½t code outside o,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Written Tutorials;Online books,,21,10,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager",20 to 99 employees,I have little or no influence,Ask developers I know/work with,United States of America,"USD	United States dollar",145000,Yearly,C#;PowerShell;SQL,C#;PowerShell;Python;SQL,MariaDB;MySQL,Microsoft SQL Server;MongoDB,AWS;Microsoft Azure,AWS;Microsoft Azure,Angular;ASP.NET;ASP.NET Core ;Blazor,ASP.NET;ASP.NET Core ,.NET,.NET,npm;Yarn,,Visual Studio,Visual Studio,Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,,,Cisco Webex Teams;Microsoft Teams;RingCentral;Slack,Cisco Webex Teams;Microsoft Teams;RingCentral;Slack,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,People manager,12
20796,4 Bachelorï¿½ï,100,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague",Technical documentation;Written Tutorials;Stack Overflow;Online forum;How-to videos,Codecademy;Pluralsight,9,9,"Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",100000,Yearly,Bash/Shell;C#;Delphi;JavaScript;PowerShell;Python,Bash/Shell;C#;F#;Lua;PowerShell;Python;Rust;TypeScript,,,,,ASP.NET;Blazor,Blazor;React.js,.NET,.NET;Electron,,,"IPython/Jupyter;RAD Studio (Delphi, C++ Builder);Vim;Visual Studio;Visual Studio Code",IPython/Jupyter;Vim;Visual Studio Code,Windows,macOS,Git,Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Confluence,,Microsoft Teams,Microsoft Teams,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,9
20797,4 Bachelorï¿½ï,2250,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;School or academic work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);Online forum;Coding sessions (live or recorded)",,6,4,"Data scientist or machine learning specialist;Developer, desktop or enterprise applications;Academic researcher","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",107004,Weekly,Bash/Shell;C++;Python;R,Bash/Shell;Julia;LISP;Rust,,,,,,,Keras;NumPy;Pandas;Tidyverse;TensorFlow;Torch/PyTorch,Keras;TensorFlow,Homebrew,Homebrew,Emacs;Visual Studio Code,Emacs;Visual Studio Code,macOS,macOS,Git,Code editor;Command-line,,,,,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack;Zoom,Indifferent,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,5
20806,5 Masterï¿½ï,150,I am a developer by profession,"Employed, full-time",Fully remote,I donï¿½ï¿½ï¿½t code outside o,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Other (please specify):;Hackathons (virtual or in-person)",Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded),,32,28,"Developer, front-end;Developer, back-end;Developer, QA or test;DevOps specialist;Other (please specify):;Product manager",500 to 999 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,United States of America,"USD	United States dollar",150000,Yearly,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Google Cloud,Google Cloud,,,,,,,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code;Webstorm,Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Confluence;Smartsheet,Confluence;Smartsheet,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",55-64 years old,Woman,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,30
20811,3 Associate,100,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos,,20,15,"Developer, full-stack;System administrator","1,000 to 4,999 employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",100000,Yearly,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL;VBA,C#;HTML/CSS;SQL,Cassandra;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Microsoft SQL Server,,,ASP.NET;ASP.NET Core ;jQuery,ASP.NET Core ;jQuery,.NET,.NET,,,Notepad++;Vim;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Linux-based;Windows,Windows,Git,Code editor;Version control hosting service web GUI,,,,,Microsoft Teams;Zoom,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Yes,Independent contributor,15
20816,2 College study,500,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business,Some college/university study without earning a degree,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Colleague","Technical documentation;Blogs;Programming Games;Written Tutorials;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Coding sessions (live or recorded)",,8,5,"Engineer, data;Developer, full-stack;Developer, back-end","10,000 or more employees",I have some influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",500000,Yearly,Bash/Shell;Clojure;Elixir;Go;Haskell;Java;JavaScript;LISP;Python;Rust;SQL;TypeScript,Bash/Shell;Clojure;Elixir;Erlang;Go;Haskell;Java;JavaScript;Kotlin;LISP;OCaml;Python;Rust;SQL;TypeScript,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;Redis;SQLite,AWS;DigitalOcean;Google Cloud;Heroku,AWS;Google Cloud,FastAPI;Next.js;Node.js;React.js,FastAPI;Next.js,Apache Kafka;Apache Spark;Hadoop;Scikit-learn,Apache Spark;Hadoop,Docker;Homebrew;Kubernetes;npm;Yarn,Docker;Homebrew;Kubernetes;Yarn,Neovim,Neovim,macOS,Linux-based;macOS,Git,Command-line,,,,,Slack;Zoom,Slack;Zoom,Very unfavorable,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",No,,
20818,5 Masterï¿½ï,155,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Other online resources (e.g., videos, blogs, forum);On the job training",Technical documentation;Written Tutorials;Online forum,,14,14,Data scientist or machine learning specialist,20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",155000,Yearly,Bash/Shell;HTML/CSS;Julia;SQL,Julia,PostgreSQL,PostgreSQL,AWS,AWS,,,,,Docker;Homebrew;Kubernetes,Homebrew,Neovim,Neovim,Linux-based;macOS,BSD;macOS,Git,Command-line,,,Asana,,Slack,Slack,Very unfavorable,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White;European;Central Asian,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,16
20820,3 Associate,175,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded)",,10,7,"Developer, full-stack",20 to 99 employees,I have a great deal of influence,Other (please specify):;Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",175000,Yearly,F#;Go;JavaScript;Scala;TypeScript,F#;Go;Haskell;JavaScript;Rust;TypeScript,PostgreSQL,PostgreSQL,AWS;DigitalOcean;Heroku,AWS;DigitalOcean,Express;Next.js;Node.js;Play Framework;React.js,Express;Node.js;React.js,,,Docker;npm;Terraform,Docker;npm,Visual Studio Code,Visual Studio Code,macOS,macOS;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Asana;ClickUp;Jira Work Management;Notion;Stack Overflow for Teams;Trello,Asana;Notion;Trello,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White;Asian;Multiracial,None of the above,,Yes,Independent contributor,7
20825,4 Bachelorï¿½ï,258,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;School (i.e., University, College, etc);Colleague",,,38,29,Educator;Academic researcher;Other (please specify):;Data or business analyst;Designer,100 to 499 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",258000,Yearly,Clojure;JavaScript,Clojure;Dart;Rust,,,AWS,AWS,Node.js;React.js,Blazor;Node.js;React.js,,,Homebrew;npm,Docker;Homebrew;npm;Terraform,Emacs;Neovim,Emacs;Neovim;Visual Studio Code,Linux-based;macOS,macOS,Git,Command-line,,,,,Cisco Webex Teams,Microsoft Teams;Zoom,Very unfavorable,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not at all",45-54 years old,Woman,Prefer not to say,Bisexual,White,None of the above,None of the above,Yes,Independent contributor,29
20830,6 Doctorate,1200,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Professional degree (JD, MD, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Blogs;Written Tutorials;Written-based Online Courses,,25,17,"Developer, QA or test",20 to 99 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,United States of America,"USD	United States dollar",100000,Monthly,JavaScript;Python,C;C++;JavaScript;Python,,,,,,,.NET;GTK;Xamarin,.NET,Unity 3D,,Eclipse;Notepad++;Visual Studio,Eclipse;Notepad++;Visual Studio,Linux-based;Windows,Linux-based;Windows,SVN,Version control hosting service web GUI,,,,,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Unsure,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,No,,
20832,2 College study,200,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Some college/university study without earning a degree,"Books / Physical media;Friend or family member;School (i.e., University, College, etc)",,,30,30,"Developer, full-stack","10,000 or more employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",200000,Yearly,C#;JavaScript;TypeScript,C#;TypeScript,Neo4j;SQLite,,Microsoft Azure,Microsoft Azure,ASP.NET Core ;React.js,ASP.NET Core ;React.js,.NET,.NET,,,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Linux-based;Windows,Git,Dedicated version control GUI application,,,,,Microsoft Teams,Microsoft Teams,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Bisexual;Straight / Heterosexual,European,None of the above,None of the above,Yes,Independent contributor,21
20854,3 Associate,197,I am a developer by profession,"Employed, full-time",Fully remote,I donï¿½ï¿½ï¿½t code outside o,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Interactive tutorial;Coding sessions (live or recorded)",Udemy;Pluralsight,25,22,"Developer, full-stack;Developer, back-end;Developer, mobile;Engineering manager;Developer, embedded applications or devices;Project manager;Designer",500 to 999 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",197000,Yearly,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PowerShell;SQL;Swift,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;SQLite,Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft Azure,AWS;Microsoft Azure,ASP.NET Core ,ASP.NET Core ;Blazor;Node.js;Vue.js,.NET;Xamarin,.NET;Uno Platform,,,Android Studio;IntelliJ;Rider;Visual Studio;Visual Studio Code;Xcode,Android Studio;IntelliJ;Rider;Visual Studio;Visual Studio Code;Xcode,macOS;Windows,macOS;Windows,Git,Code editor;Command-line;Dedicated version control GUI application,,,Confluence;Jira Work Management;Trello,Confluence;Jira Work Management;Trello,Microsoft Teams;Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,People manager,22
20860,4 Bachelorï¿½ï,105,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Freelance/contract work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online forum,,14,6,"Other (please specify):;Developer, embedded applications or devices",20 to 99 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",105000,Yearly,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Python;SQL;VBA,C#;Python,Microsoft SQL Server;MySQL;SQLite,MongoDB,,,jQuery,Django;Ruby on Rails,.NET;NumPy;Qt,.NET;NumPy;Qt;Xamarin,,,Nano;Notepad++;PyCharm;Sublime Text;Visual Studio,PyCharm;Visual Studio,Windows,Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Smartsheet,monday.com,Microsoft Teams;RingCentral,Microsoft Teams,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,10
