,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,t_dat,customer_id,price,sales_channel_id,month,FN,Active,club_member_status,fashion_news_frequency,age,postal_code,age_group,age_group_order,age_group_order_rev,price_int,age_rev
1423867,85224,818620,Samantha seamless singlet,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Fitted top in sturdy, stretch fabric with narrow, adjustable shoulder straps. The top is designed with the minimum number of seams for a seamless, comfortable feel against the skin.",2020-05-06,221231,0.0194067796610169,2,5,1.0,1.0,ACTIVE,Regularly,25.0,cbebd2a26f7de6ad897a1e865ea19da1292b57ea04ed2deda69b58b04d0843e8,25-34,25.0,15.0,19,16
1529147,88297,832359,Simone,254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Fitted top in viscose jersey with decorative buttons at the front, a low neckline and short sleeves.",2020-05-13,781593,0.0169322033898305,2,5,0.0,,ACTIVE,NONE,29.0,fcf821acf6bef668d2ec2daf425eb58b7db7b1bdbb216f8f070fc4caad61e19c,25-34,29.0,11.0,16,12
1090196,74290,776237,Shake it in Balconette,298,Bikini top,Swimwear,1010016,Solid,42,Red,5,Bright,18,Red,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Lined balconette bikini top with underwired, padded cups that lift and shape the bust. Silicone trim at the hem, detachable, adjustable shoulder straps, side support and a metal fastener at the back.",2020-05-26,320260,0.0254067796610169,2,5,0.0,,ACTIVE,NONE,38.0,2f062c71ddd1318ac3c3e75f2060bbd44a8b432907857d6e83bf32edf1ff048a,35-44,38.0,2.0,25,3
732401,88542,833493,Gold Coast Cheeky Tanga,59,Swimwear bottom,Swimwear,1010001,All over pattern,10,White,3,Light,-1,Unknown,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, jacquard-patterned bikini bottoms with a low waist and cutaway coverage at the back.",2020-05-30,256424,0.0169322033898305,2,5,1.0,1.0,ACTIVE,Regularly,28.0,fee30f0ee533657338f812ddd7da77108ac26b627d5a89eda271cd0ce4706d7f,25-34,28.0,12.0,16,13
3152947,47305,688537,Simple as that Cheeky Tanga,59,Swimwear bottom,Swimwear,1010001,All over pattern,50,Other Pink,5,Bright,4,Pink,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a mid waist and cutaway coverage at the back.,2020-05-04,946447,0.0143898305084745,2,5,0.0,,ACTIVE,NONE,36.0,04600a0c6ff1a1f5b9c22de05d264eb2de7b8721dfd914143c11d1b253bc1395,35-44,36.0,4.0,14,5
3452830,81257,805011,Karin mid support bra,306,Bra,Underwear,1010005,Colour blocking,8,Dark Grey,4,Dark,-1,Unknown,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Sports bra in fast-drying functional fabric with mesh details, a racer back and wide elasticated hem. Lined at the front. Medium support.",2020-06-23,752893,0.0220169491525423,2,6,0.0,,ACTIVE,NONE,39.0,506406907b52d4daa60a248d2590989547ba526c6daa013a48ce4ded5f0fb46f,35-44,39.0,1.0,22,2
2995282,93654,859139,Melrose linen,259,Shirt,Garment Upper body,1010017,Stripe,71,Light Blue,3,Light,2,Blue,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Shirt in airy linen with a turn-down collar, buttons down the front and a yoke with a pleat at the back. Open chest pocket, long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Slightly longer at the back.",2020-05-05,438704,0.0423559322033898,2,5,0.0,,ACTIVE,NONE,27.0,2d3f6b72f25d63f77690dd7c4c6929951e8ae093921b1bc0893556a27c5399df,25-34,27.0,13.0,42,14
2737374,86312,823365,Utility Playsuit,268,Dungarees,Garment Full body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1773,Denim Other Garments,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Short-sleeved playsuit in softly draping woven fabric made from a Tencel™ lyocell blend with notch lapels and concealed buttons at the top. Flap chest pockets, a yoke at the back, elastication at the back of the waist and a detachable tie belt. Short, wide legs with pleats at the top and pockets in the side seams. Unlined.",2020-05-28,427303,0.057728813559322,2,5,0.0,,ACTIVE,NONE,32.0,3ab342ce716ba0fef6f12b1c355d4be582457ca04f1c0fbd25af77e8cddfb823,25-34,32.0,8.0,57,9
49550,87777,829618,Coachella Push Melbourne,306,Bra,Underwear,1010016,Solid,10,White,3,Light,9,White,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Push-up bra in lace with underwired, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",2020-06-22,1301392,0.0169322033898305,2,6,1.0,1.0,ACTIVE,Regularly,34.0,49f0ee837b51e37bfe45d1914c80b508504da83ca8222ef6dee831e1cc1b12bc,25-34,34.0,6.0,16,7
4172209,91569,850176,Baby Love Triangle Top,298,Bikini top,Swimwear,1010001,All over pattern,11,Off White,3,Light,9,White,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Lined, non-wired triangle bikini top with overlocked edges around the cups. Narrow, adjustable shoulder straps that can be fastened in different ways at the back, and cups with removable inserts that shape the bust and provide good support. Elasticated hem and a metal fastener at the back.",2020-07-18,333464,0.0243898305084745,2,7,0.0,,ACTIVE,NONE,37.0,11e64423e51e6adc6338f3f531d3d1ec9d59dd334a2a7348625349585313830d,35-44,37.0,3.0,24,4
150761,45690,684021,Wow printed tee 6.99,255,T-shirt,Garment Upper body,1010014,Placement print,10,White,3,Light,9,White,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,T-shirt in soft cotton jersey with a round neckline and a print motif.,2020-06-07,73148,0.0114915254237288,2,6,1.0,1.0,ACTIVE,Regularly,31.0,9c3353f87759026e0de66106e01b17577204cba838b8a9b50669abe9cd88626b,25-34,31.0,9.0,11,10
744180,47086,687704,Embrace S.Skinny Ankle H.W,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in washed, stretch denim with a high waist, zip fly and button and super-skinny legs. Embrace – denim with a smart stretch function that moulds to the body for a comfortable, flattering silhouette.",2020-06-25,1271335,0.061,2,6,1.0,1.0,ACTIVE,Regularly,29.0,ed9850abec732f3f5099bd8b487ac4c74bcabf9acfebb0d0a9874245ebad9fa1,25-34,29.0,11.0,61,12
3202582,100944,893064,Rosalie dress,265,Dress,Garment Full body,1010016,Solid,42,Red,7,Medium,18,Red,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Short, A-line dress in soft cotton jersey with narrow shoulder straps.",2020-06-23,127981,0.0152372881355932,2,6,0.0,,ACTIVE,NONE,26.0,102183de22c6110db8e6e9b520a7aaab65c0cee1c5ff5a131a00ab72a823522f,25-34,26.0,14.0,15,15
1347512,98948,881608,Taylor midi dress,265,Dress,Garment Full body,1010023,Denim,11,Off White,1,Dusty Light,9,White,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Sleeveless, fitted, calf-length dress in stretch cotton twill with wide shoulder straps, off-centre buttons down the front and a seam at the waist.",2020-06-03,892031,0.0463050847457627,2,6,1.0,1.0,ACTIVE,Regularly,34.0,5d26a64e5e27f8b2fda4e042df978518daa137db1bf28215f2a1ee19091da4c0,25-34,34.0,6.0,46,7
2476391,21670,594978,Classic Pilot sunglasses,81,Sunglasses,Accessories,1010011,Metallic,3,Silver,3,Light,15,Metal,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with metal frames and UV-protective, tinted lenses.",2020-05-21,219400,0.0135423728813559,1,5,1.0,1.0,ACTIVE,Regularly,28.0,e33ddab3543d0e640374a26ec51d2063f458a50d30f8f6e36838befaec5c56b7,25-34,28.0,12.0,13,13
1877797,83971,814224,Sundby,245,Cardigan,Garment Upper body,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Long-sleeved cardigan in a soft, fine knit with a V-neck, buttons down the front and ribbing at the cuffs and hem.",2020-05-28,68020,0.0220169491525423,2,5,1.0,1.0,ACTIVE,Regularly,40.0,7723f06ea64bf03f27373604998530c0d1e564900b545811a1d82a4eb784caae,35-44,40.0,0.0,22,1
255763,93619,859077,Nora dress(1),265,Dress,Garment Full body,1010016,Solid,63,Dark Purple,4,Dark,6,Lilac Purple,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Short, straight-style T-shirt dress in soft jersey made from a cotton blend with a round, slightly wider neckline. Short sleeves with sewn-in turn-ups, and short slits in the sides. Unlined.",2020-07-05,785496,0.0251525423728813,2,7,0.0,,ACTIVE,NONE,27.0,78bb2396311551501560d24d673d0cd96ac935a0d285da2432cfce816a0f3906,25-34,27.0,13.0,25,14
1727221,46339,685811,Benny Shorts,274,Shorts,Garment Lower body,1010010,Melange,6,Light Grey,1,Dusty Light,12,Grey,5832,Light Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Shorts in sweatshirt fabric with an elasticated drawstring waist, side pockets and a back pocket. Soft brushed inside.",2020-05-15,5266,0.0169322033898305,2,5,0.0,,ACTIVE,NONE,37.0,2edb2b551d196dc8c141c26c2e87e164f4f7db8ae3d342c398e5adc3063ae530,35-44,37.0,3.0,16,4
259025,86552,824340,Maria HW Woven Shorts,274,Shorts,Garment Lower body,1010017,Stripe,9,Black,4,Dark,5,Black,1745,Shorts,D,Divided,2,Divided,53,Divided Collection,1025,Shorts,Shorts in woven fabric. High paper bag waist with covered elastication.,2020-07-29,318199,0.0135423728813559,2,7,1.0,1.0,ACTIVE,Regularly,32.0,d261c78347dbb1df19e66659ce70383d004176c8401aff229812e8c15312cc28,25-34,32.0,8.0,13,9
4364685,90722,844409,Sporty Spice PRICE Swimsuit,57,Swimsuit,Swimwear,1010026,Other structure,50,Other Pink,5,Bright,4,Pink,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with narrow, adjustable shoulder straps, high-cut legs and medium coverage at the back.",2020-07-27,969801,0.008457627118644,1,7,0.0,,ACTIVE,NONE,30.0,053726f7f9ccf4790f01c27dc028518f432cab4b35f4bf21b570e25ec88bd297,25-34,30.0,10.0,8,11
4067681,101207,894941,LOGG Silver dress,265,Dress,Garment Full body,1010016,Solid,82,Turquoise,1,Dusty Light,7,Turquoise,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Short, V-neck dress in jersey with narrow, tie-top shoulder straps and gathered seams at the waist and hips for added width and soft draping. Unlined.",2020-06-17,1199400,0.0220169491525423,2,6,1.0,1.0,ACTIVE,Regularly,30.0,d224a7454dd3bd384d80bc6604d820c48795461b9e0d251c34b3d539827d6a4a,25-34,30.0,10.0,22,11
747194,89678,839450,Evie French Thong (Mynta) 3pk,286,Underwear bottom,Underwear,1010021,Lace,9,Black,4,Dark,5,Black,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Thong briefs in lace with a mid waist, lined gusset and string back.",2020-06-27,546314,0.0220169491525423,1,6,0.0,,ACTIVE,NONE,30.0,8ab8dcc915a7f426b0dfc1f64d066efc67778302ca812ad384bf3309bbe8673d,25-34,30.0,10.0,22,11
2910802,86877,825318,Savannah wrap tank,253,Vest top,Garment Upper body,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Cropped, sleeveless sports top in fast-drying functional fabric with a twisted detail at the hem.",2020-07-09,909911,0.0067627118644067,2,7,1.0,1.0,ACTIVE,Regularly,26.0,7c87c1280107ebd4b7cba753edd868b86fb2b66fe29a206adebf3d170ee9038a,25-34,26.0,14.0,6,15
205454,90082,841383,Vanessa 2-pack,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Fitted strappy top in soft organic cotton jersey.,2020-05-14,1142649,0.008457627118644,1,5,1.0,1.0,ACTIVE,Regularly,39.0,e8a7c9a0cad71040559431af44f21252133e48e28a93f431095a3d54f43397b6,35-44,39.0,1.0,8,2
