,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
10,0-200,12,existing credits paid back duly till now,car (new),1295,<100,<1 yr,3,none,1,car or other,25,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
11,<0,48,existing credits paid back duly till now,business,4308,<100,<1 yr,3,none,4,savings agreement/life insurance,24,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
12,0-200,12,existing credits paid back duly till now,radio/television,1567,<100,1-4 yrs,1,none,1,car or other,22,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
13,<0,24,critical account/other credits existing (not at this bank),car (new),1199,<100,>7 yrs,4,none,4,car or other,60,none,rent,2,unskilled - resident,1,none,yes,bad,single,male,4,0
14,<0,15,existing credits paid back duly till now,car (new),1403,<100,1-4 yrs,2,none,4,car or other,28,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
15,<0,24,existing credits paid back duly till now,radio/television,1282,100-500,1-4 yrs,4,none,2,car or other,32,none,rent,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,2,0
16,No account,24,critical account/other credits existing (not at this bank),radio/television,2424,unknown/no savings account,>7 yrs,4,none,4,savings agreement/life insurance,53,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
17,<0,30,no credits taken / paid back duly,business,8072,unknown/no savings account,<1 yr,2,none,3,car or other,25,bank,rent,3,skilled employee / official,1,none,yes,good,single,male,1,1
18,0-200,24,existing credits paid back duly till now,car (used),12579,<100,>7 yrs,4,none,2,unknown/no property,44,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,4,0
19,No account,24,existing credits paid back duly till now,radio/television,3430,500-1000,>7 yrs,3,none,2,car or other,31,none,rent,1,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
20,No account,9,critical account/other credits existing (not at this bank),car (new),2134,<100,1-4 yrs,4,none,4,car or other,48,none,rent,3,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
21,<0,6,existing credits paid back duly till now,radio/television,2647,500-1000,1-4 yrs,2,none,3,real estate,44,none,own,1,skilled employee / official,2,none,yes,good,single,male,2,1
22,<0,10,critical account/other credits existing (not at this bank),car (new),2241,<100,<1 yr,1,none,3,real estate,48,none,own,2,unskilled - resident,2,none,no,good,single,male,1,1
23,0-200,12,critical account/other credits existing (not at this bank),car (used),1804,100-500,<1 yr,3,none,4,savings agreement/life insurance,44,none,rent,1,skilled employee / official,1,none,yes,good,single,male,1,1
24,No account,10,critical account/other credits existing (not at this bank),furniture/equipment,2069,unknown/no savings account,1-4 yrs,2,none,1,car or other,26,none,rent,2,skilled employee / official,1,none,no,good,married/widowed,male,2,1
25,<0,6,existing credits paid back duly till now,furniture/equipment,1374,<100,1-4 yrs,1,none,2,real estate,36,bank,rent,1,unskilled - resident,1,"yes, registered",yes,good,single,male,2,1
26,No account,6,no credits taken / paid back duly,radio/television,426,<100,>7 yrs,4,none,4,car or other,39,none,rent,1,unskilled - resident,1,none,yes,good,married/widowed,male,4,1
27,>=200,12,all credits at this bank paid back duly,radio/television,409,>=1000,1-4 yrs,3,none,3,real estate,42,none,own,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
28,0-200,7,existing credits paid back duly till now,radio/television,2415,<100,1-4 yrs,3,guarantor,2,real estate,34,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
29,<0,60,delay in paying off in the past,business,6836,<100,>7 yrs,3,none,4,unknown/no property,63,none,rent,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,4,0
30,0-200,18,existing credits paid back duly till now,business,1913,>=1000,<1 yr,3,none,3,real estate,36,bank,rent,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,1,1
31,<0,24,existing credits paid back duly till now,furniture/equipment,4020,<100,1-4 yrs,2,none,2,car or other,27,stores,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
32,0-200,18,existing credits paid back duly till now,car (new),5866,100-500,1-4 yrs,2,none,2,car or other,30,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
33,No account,12,critical account/other credits existing (not at this bank),business,1264,unknown/no savings account,>7 yrs,4,none,4,unknown/no property,57,none,own,1,unskilled - resident,1,none,yes,good,single,male,4,1
34,>=200,12,existing credits paid back duly till now,furniture/equipment,1474,<100,<1 yr,4,none,1,savings agreement/life insurance,33,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
35,0-200,45,critical account/other credits existing (not at this bank),radio/television,4746,<100,<1 yr,4,none,2,savings agreement/life insurance,25,none,rent,2,unskilled - resident,1,none,yes,bad,single,male,1,0
36,No account,48,critical account/other credits existing (not at this bank),education,6110,<100,1-4 yrs,1,none,3,unknown/no property,31,bank,free,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
37,>=200,18,existing credits paid back duly till now,radio/television,2100,<100,1-4 yrs,4,co-applicant,2,real estate,37,stores,rent,1,skilled employee / official,1,none,yes,bad,single,male,2,0
38,>=200,10,existing credits paid back duly till now,domestic appliances,1225,<100,1-4 yrs,2,none,2,car or other,37,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
39,0-200,9,existing credits paid back duly till now,radio/television,458,<100,1-4 yrs,4,none,3,real estate,24,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
40,No account,30,existing credits paid back duly till now,radio/television,2333,500-1000,>7 yrs,4,none,2,car or other,30,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,single,male,4,1
41,0-200,12,existing credits paid back duly till now,radio/television,1158,500-1000,1-4 yrs,3,none,1,car or other,26,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated,male,2,1
42,0-200,18,delay in paying off in the past,repairs,6204,<100,1-4 yrs,2,none,4,real estate,44,none,rent,1,unskilled - resident,2,"yes, registered",yes,good,single,male,2,1
43,<0,30,critical account/other credits existing (not at this bank),car (used),6187,100-500,4-7 yrs,1,none,4,car or other,24,none,own,2,skilled employee / official,1,none,yes,good,married/widowed,male,3,1
44,<0,48,critical account/other credits existing (not at this bank),car (used),6143,<100,>7 yrs,4,none,4,unknown/no property,58,stores,free,2,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,4,0
45,No account,11,critical account/other credits existing (not at this bank),car (new),1393,<100,<1 yr,4,none,4,car or other,35,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,divorced/separated/married,female,1,1
46,No account,36,existing credits paid back duly till now,radio/television,2299,500-1000,>7 yrs,4,none,4,car or other,39,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
47,<0,6,existing credits paid back duly till now,car (used),1352,500-1000,unemployed,1,none,2,savings agreement/life insurance,23,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered",yes,good,divorced/separated/married,female,0,1
48,No account,11,critical account/other credits existing (not at this bank),car (new),7228,<100,1-4 yrs,1,none,4,savings agreement/life insurance,39,none,rent,2,unskilled - resident,1,none,yes,good,single,male,2,1
49,No account,12,existing credits paid back duly till now,radio/television,2073,100-500,1-4 yrs,4,co-applicant,2,real estate,28,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
50,0-200,24,delay in paying off in the past,furniture/equipment,2333,unknown/no savings account,<1 yr,4,none,2,savings agreement/life insurance,29,bank,rent,1,unskilled - resident,1,none,yes,good,single,male,1,1
51,0-200,27,delay in paying off in the past,car (used),5965,<100,>7 yrs,1,none,2,car or other,30,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
52,No account,12,existing credits paid back duly till now,radio/television,1262,<100,1-4 yrs,3,none,2,car or other,25,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
53,No account,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account,1-4 yrs,2,none,1,savings agreement/life insurance,31,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
54,0-200,36,delay in paying off in the past,car (new),2225,<100,>7 yrs,4,none,4,unknown/no property,57,bank,free,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,4,0
55,No account,6,all credits at this bank paid back duly,car (new),783,unknown/no savings account,1-4 yrs,1,guarantor,2,real estate,26,stores,rent,1,unskilled - resident,2,none,yes,good,single,male,2,1
56,0-200,12,existing credits paid back duly till now,radio/television,6468,unknown/no savings account,unemployed,2,none,1,unknown/no property,52,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,0,0
57,No account,36,critical account/other credits existing (not at this bank),radio/television,9566,<100,1-4 yrs,2,none,2,car or other,31,stores,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
58,>=200,18,existing credits paid back duly till now,car (new),1961,<100,>7 yrs,3,none,2,car or other,23,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,divorced/separated/married,female,4,1
59,<0,36,critical account/other credits existing (not at this bank),furniture/equipment,6229,<100,<1 yr,4,co-applicant,4,unknown/no property,23,none,own,2,unskilled - resident,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
60,0-200,9,existing credits paid back duly till now,business,1391,<100,1-4 yrs,2,none,1,real estate,27,bank,rent,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,2,1
61,0-200,15,critical account/other credits existing (not at this bank),radio/television,1537,unknown/no savings account,>7 yrs,4,guarantor,4,real estate,50,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
62,0-200,36,no credits taken / paid back duly,business,1953,<100,>7 yrs,4,none,4,unknown/no property,61,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,4,0
63,0-200,48,no credits taken / paid back duly,business,14421,<100,1-4 yrs,2,none,2,car or other,25,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,2,0
64,No account,24,existing credits paid back duly till now,radio/television,3181,<100,<1 yr,4,none,4,savings agreement/life insurance,26,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
65,No account,27,existing credits paid back duly till now,repairs,5190,unknown/no savings account,>7 yrs,4,none,4,savings agreement/life insurance,48,none,rent,4,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
66,No account,12,existing credits paid back duly till now,radio/television,2171,<100,<1 yr,2,none,2,car or other,29,bank,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
67,0-200,12,existing credits paid back duly till now,car (new),1007,>=1000,1-4 yrs,4,none,1,real estate,22,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
68,No account,36,existing credits paid back duly till now,education,1819,<100,1-4 yrs,4,none,4,unknown/no property,37,stores,free,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,2,0
69,No account,36,existing credits paid back duly till now,radio/television,2394,unknown/no savings account,1-4 yrs,4,none,4,car or other,25,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
70,No account,36,existing credits paid back duly till now,car (used),8133,<100,1-4 yrs,1,none,2,savings agreement/life insurance,30,bank,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
71,No account,7,critical account/other credits existing (not at this bank),radio/television,730,unknown/no savings account,>7 yrs,4,none,2,savings agreement/life insurance,46,none,own,2,unskilled - resident,1,"yes, registered",yes,good,single,male,4,1
72,<0,8,critical account/other credits existing (not at this bank),others,1164,<100,>7 yrs,3,none,4,unknown/no property,51,bank,free,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,4,1
73,0-200,42,critical account/other credits existing (not at this bank),business,5954,<100,4-7 yrs,2,none,1,real estate,41,bank,rent,2,unskilled - resident,1,none,yes,good,divorced/separated/married,female,3,1
74,<0,36,existing credits paid back duly till now,education,1977,unknown/no savings account,>7 yrs,4,none,4,unknown/no property,40,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,4,0
75,<0,12,critical account/other credits existing (not at this bank),car (used),1526,<100,>7 yrs,4,none,4,unknown/no property,66,none,free,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,single,male,4,1
76,<0,42,existing credits paid back duly till now,radio/television,3965,<100,<1 yr,4,none,3,car or other,34,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,1,0
77,0-200,11,delay in paying off in the past,radio/television,4771,<100,4-7 yrs,2,none,4,savings agreement/life insurance,51,none,rent,1,skilled employee / official,1,none,yes,good,single,male,3,1
78,No account,54,no credits taken / paid back duly,car (used),9436,unknown/no savings account,1-4 yrs,2,none,2,savings agreement/life insurance,39,none,rent,1,unskilled - resident,2,none,yes,good,single,male,2,1
79,0-200,30,existing credits paid back duly till now,furniture/equipment,3832,<100,<1 yr,2,none,1,savings agreement/life insurance,22,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,1,1
80,No account,24,existing credits paid back duly till now,radio/television,5943,unknown/no savings account,<1 yr,1,none,1,car or other,44,none,rent,2,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
81,No account,15,existing credits paid back duly till now,radio/television,1213,500-1000,>7 yrs,4,none,3,savings agreement/life insurance,47,stores,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
82,No account,18,existing credits paid back duly till now,business,1568,100-500,1-4 yrs,3,none,4,savings agreement/life insurance,24,none,own,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
83,<0,24,existing credits paid back duly till now,others,1755,<100,>7 yrs,4,guarantor,4,real estate,58,none,rent,1,unskilled - resident,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
84,<0,10,existing credits paid back duly till now,radio/television,2315,<100,>7 yrs,3,none,4,real estate,52,none,rent,1,unskilled - resident,1,none,yes,good,single,male,4,1
85,No account,12,critical account/other credits existing (not at this bank),business,1412,<100,1-4 yrs,4,guarantor,2,real estate,29,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
86,0-200,18,critical account/other credits existing (not at this bank),furniture/equipment,1295,<100,<1 yr,4,none,1,savings agreement/life insurance,27,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
87,0-200,36,existing credits paid back duly till now,education,12612,100-500,1-4 yrs,1,none,4,unknown/no property,47,none,free,1,skilled employee / official,2,"yes, registered",yes,bad,single,male,2,0
88,<0,18,existing credits paid back duly till now,car (new),2249,100-500,4-7 yrs,4,none,3,car or other,30,none,rent,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,3,1
89,<0,12,no credits taken / paid back duly,repairs,1108,<100,4-7 yrs,4,none,3,real estate,28,none,rent,2,skilled employee / official,1,none,yes,bad,single,male,3,0
90,No account,12,critical account/other credits existing (not at this bank),radio/television,618,<100,>7 yrs,4,none,4,real estate,56,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
91,<0,12,critical account/other credits existing (not at this bank),car (used),1409,<100,>7 yrs,4,none,3,real estate,54,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
92,No account,12,critical account/other credits existing (not at this bank),radio/television,797,unknown/no savings account,>7 yrs,4,none,3,savings agreement/life insurance,33,bank,rent,1,unskilled - resident,2,none,yes,bad,divorced/separated/married,female,4,0
93,>=200,24,critical account/other credits existing (not at this bank),furniture/equipment,3617,unknown/no savings account,>7 yrs,4,co-applicant,4,unknown/no property,20,none,own,2,skilled employee / official,1,none,yes,good,single,male,4,1
94,0-200,12,existing credits paid back duly till now,car (new),1318,>=1000,>7 yrs,4,none,4,real estate,54,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
95,0-200,54,no credits taken / paid back duly,business,15945,<100,<1 yr,3,none,4,unknown/no property,58,none,own,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,1,0
96,No account,12,critical account/other credits existing (not at this bank),education,2012,unknown/no savings account,4-7 yrs,4,none,2,car or other,61,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
97,0-200,18,existing credits paid back duly till now,business,2622,100-500,1-4 yrs,4,none,4,car or other,34,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
98,0-200,36,critical account/other credits existing (not at this bank),radio/television,2337,<100,>7 yrs,4,none,4,real estate,36,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
99,0-200,20,delay in paying off in the past,car (used),7057,unknown/no savings account,4-7 yrs,3,none,4,savings agreement/life insurance,36,bank,own,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,good,single,male,3,1
100,No account,24,existing credits paid back duly till now,car (new),1469,100-500,>7 yrs,4,none,4,real estate,41,none,own,1,unskilled - resident,1,none,yes,good,married/widowed,male,4,1
101,0-200,36,existing credits paid back duly till now,radio/television,2323,<100,4-7 yrs,4,none,4,car or other,24,none,own,1,skilled employee / official,1,none,yes,good,single,male,3,1
102,No account,6,delay in paying off in the past,radio/television,932,<100,1-4 yrs,3,none,2,real estate,24,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
103,0-200,9,critical account/other credits existing (not at this bank),furniture/equipment,1919,<100,4-7 yrs,4,none,3,car or other,35,none,own,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
104,No account,12,existing credits paid back duly till now,car (used),2445,unknown/no savings account,<1 yr,2,none,4,car or other,26,none,own,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,1,1
105,0-200,24,critical account/other credits existing (not at this bank),others,11938,<100,1-4 yrs,2,co-applicant,3,car or other,39,none,rent,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,bad,single,male,2,0
106,No account,18,all credits at this bank paid back duly,car (new),6458,<100,>7 yrs,2,none,4,unknown/no property,39,bank,rent,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,bad,single,male,4,0
107,0-200,12,existing credits paid back duly till now,car (new),6078,<100,4-7 yrs,2,none,2,car or other,32,none,rent,1,skilled employee / official,1,none,yes,good,single,male,3,1
108,<0,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/no savings account,<1 yr,1,none,2,savings agreement/life insurance,30,none,rent,1,skilled employee / official,1,"yes, registered",no,good,divorced/separated/married,female,1,1
109,0-200,14,existing credits paid back duly till now,business,1410,500-1000,>7 yrs,1,none,2,real estate,35,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,4,1
110,0-200,6,delay in paying off in the past,business,1449,100-500,>7 yrs,1,none,2,car or other,31,bank,rent,2,skilled employee / official,2,none,yes,good,divorced/separated,male,4,1
111,>=200,15,existing credits paid back duly till now,education,392,<100,<1 yr,4,none,4,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
112,0-200,18,existing credits paid back duly till now,car (new),6260,<100,4-7 yrs,3,none,3,real estate,28,none,own,1,unskilled - resident,1,none,yes,good,single,male,3,1
113,No account,36,critical account/other credits existing (not at this bank),car (new),7855,<100,1-4 yrs,4,none,2,real estate,25,stores,rent,2,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
114,<0,12,existing credits paid back duly till now,radio/television,1680,500-1000,>7 yrs,3,none,1,real estate,35,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,4,1
115,No account,48,critical account/other credits existing (not at this bank),radio/television,3578,unknown/no savings account,>7 yrs,4,none,1,real estate,47,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
116,<0,42,existing credits paid back duly till now,radio/television,7174,unknown/no savings account,4-7 yrs,4,none,3,car or other,30,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,3,0
117,<0,10,critical account/other credits existing (not at this bank),furniture/equipment,2132,unknown/no savings account,<1 yr,2,co-applicant,3,real estate,27,none,own,2,skilled employee / official,1,none,no,good,divorced/separated/married,female,1,1
118,<0,33,critical account/other credits existing (not at this bank),furniture/equipment,4281,500-1000,1-4 yrs,1,none,4,car or other,23,none,rent,2,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
119,0-200,12,critical account/other credits existing (not at this bank),car (new),2366,500-1000,4-7 yrs,3,none,3,car or other,36,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated,male,3,1
120,<0,21,existing credits paid back duly till now,radio/television,1835,<100,1-4 yrs,3,none,2,real estate,25,none,rent,2,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
121,No account,24,critical account/other credits existing (not at this bank),car (used),3868,<100,>7 yrs,4,none,2,car or other,41,none,own,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
122,No account,12,existing credits paid back duly till now,furniture/equipment,1768,<100,1-4 yrs,3,none,2,real estate,24,none,own,1,unskilled - resident,1,none,yes,good,single,male,2,1
123,>=200,10,critical account/other credits existing (not at this bank),car (new),781,<100,>7 yrs,4,none,4,unknown/no property,63,none,free,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
124,0-200,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/no savings account,<1 yr,4,none,3,real estate,27,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
125,<0,12,critical account/other credits existing (not at this bank),car (new),2121,<100,1-4 yrs,4,none,2,savings agreement/life insurance,30,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
126,<0,12,existing credits paid back duly till now,radio/television,701,<100,1-4 yrs,4,none,2,real estate,40,none,rent,1,unskilled - resident,1,none,yes,good,married/widowed,male,2,1
127,0-200,12,existing credits paid back duly till now,repairs,639,<100,1-4 yrs,4,none,2,car or other,30,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,2,0
128,0-200,12,critical account/other credits existing (not at this bank),car (used),1860,<100,unemployed,4,none,2,car or other,34,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
129,<0,12,critical account/other credits existing (not at this bank),car (new),3499,<100,1-4 yrs,3,co-applicant,2,real estate,29,none,rent,2,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
130,0-200,48,existing credits paid back duly till now,car (new),8487,unknown/no savings account,4-7 yrs,1,none,2,car or other,24,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
131,<0,36,delay in paying off in the past,education,6887,<100,1-4 yrs,4,none,3,savings agreement/life insurance,29,stores,rent,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,2,0
132,No account,15,existing credits paid back duly till now,furniture/equipment,2708,<100,<1 yr,2,none,3,savings agreement/life insurance,27,bank,rent,2,unskilled - resident,1,none,yes,good,single,male,1,1
133,No account,18,existing credits paid back duly till now,furniture/equipment,1984,<100,1-4 yrs,4,none,4,unknown/no property,47,bank,free,2,skilled employee / official,1,none,yes,good,single,male,2,1
134,No account,60,existing credits paid back duly till now,radio/television,10144,100-500,4-7 yrs,2,none,4,real estate,21,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
135,No account,12,critical account/other credits existing (not at this bank),radio/television,1240,unknown/no savings account,>7 yrs,4,none,2,real estate,38,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
136,No account,27,delay in paying off in the past,car (used),8613,>=1000,1-4 yrs,2,none,2,car or other,27,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
137,0-200,12,existing credits paid back duly till now,radio/television,766,500-1000,1-4 yrs,4,none,3,real estate,66,none,rent,1,unskilled - resident,1,none,yes,bad,single,male,2,0
138,0-200,15,critical account/other credits existing (not at this bank),radio/television,2728,unknown/no savings account,4-7 yrs,4,guarantor,2,real estate,35,bank,rent,3,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
139,>=200,12,existing credits paid back duly till now,radio/television,1881,<100,1-4 yrs,2,none,2,car or other,44,none,own,1,unskilled - resident,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
140,>=200,6,existing credits paid back duly till now,car (new),709,>=1000,<1 yr,2,none,2,real estate,27,none,rent,1,unemployed/ unskilled - non-resident,1,none,no,good,married/widowed,male,1,1
141,0-200,36,existing credits paid back duly till now,radio/television,4795,<100,<1 yr,4,none,1,unknown/no property,30,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
142,<0,27,existing credits paid back duly till now,radio/television,3416,<100,1-4 yrs,3,none,2,car or other,27,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,single,male,2,1
143,<0,18,existing credits paid back duly till now,furniture/equipment,2462,<100,1-4 yrs,2,none,2,car or other,22,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,2,0
144,No account,21,critical account/other credits existing (not at this bank),furniture/equipment,2288,<100,<1 yr,4,none,4,savings agreement/life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
145,0-200,48,all credits at this bank paid back duly,business,3566,100-500,4-7 yrs,4,none,2,car or other,30,none,rent,1,skilled employee / official,1,none,yes,good,single,male,3,1
146,<0,6,critical account/other credits existing (not at this bank),car (new),860,<100,>7 yrs,1,none,4,unknown/no property,39,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
