,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,year_range_built,year_range_built_numeric,year_range_built3,property_value_$1K,year_range2,year_range2_rev
407573,11845085,1.0,,,5.0,4.0,,1.0,5.0,,,3130.0,3130.0,,,,,6037.0,,5.0,,,,2.0,34059123.0,-118109655.0,5986.0,,,,,,0100,261.0,MPR3*,60374822.023001,6021.0,3101.0,,96497.0,0.0,,,,1.0,,,2001.0,,,429967.0,638922.0,2015.0,208955.0,8357.75,0,,60374822023001.0,2000-2004,3,2000-2003,638.0,1999-2001,5 1999-2001
605807,12848991,1.0,,,5.0,7.0,,4.0,5.0,,,3551.0,3551.0,,,,,6037.0,,5.0,,,,2.0,33958280.0,-117906678.0,7446.0,,,,,,0100,261.0,LAC15000*,60374087.031011,,3101.0,,96492.0,0.0,,,,1.0,,,1998.0,,,532932.0,896812.0,2015.0,363880.0,14837.67,0,,60374087031011.0,1995-1999,2,1997-2000,896.0,1997-1999,6 1997-1999
151111,11317951,1.0,,,3.0,4.0,,4.0,3.0,,,3096.0,3096.0,,,,,6037.0,,3.0,,,,2.0,34677904.0,-118239808.0,6909.0,,,,,,0100,261.0,LRR7000,60379012.051015,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,2006.0,,,174000.0,338000.0,2015.0,164000.0,4989.77,0,,60379012051015.0,2005-2009,4,2003-2006,338.0,2005-2007,2 2005-2007
412290,12367197,1.0,,,3.0,3.0,,4.0,3.0,,,1408.0,1408.0,,,,,6037.0,,3.0,,,,2.0,33968970.0,-118157071.0,2731.0,,,,,,0100,261.0,BGR3*,60375339.014001,16961.0,3101.0,,96083.0,0.0,,,,1.0,,,2004.0,,,185700.0,389000.0,2015.0,203300.0,5385.34,0,,60375339014001.0,2000-2004,3,2003-2006,389.0,2003-2005,3 2003-2005
21549,11324075,1.0,,,3.0,4.0,,4.0,3.0,,,2815.0,2815.0,,,,,6037.0,,3.0,,,,2.0,34565971.0,-118169399.0,5459.0,,,,,,0100,261.0,PDSP,60379102.061085,40227.0,3101.0,,97329.0,0.0,,,,1.0,,,2006.0,,,225100.0,281500.0,2015.0,56400.0,6526.73,0,,60379102061085.0,2005-2009,4,2003-2006,281.0,2005-2007,2 2005-2007
528629,17159363,,,,3.5,3.0,,,3.5,,605.0,1926.0,1926.0,,,605.0,,6111.0,,3.0,2.0,0.0,,,34212645.0,-119177273.0,,,,,,,1129,266.0,,61110033.001008,13150.0,2061.0,,97101.0,8.0,,1.0,,,,,2006.0,3.0,,140050.0,280100.0,2015.0,140050.0,3748.9,0,,61110033001008.0,2005-2009,4,2003-2006,280.0,2005-2007,2 2005-2007
124055,11495381,1.0,,,4.0,4.0,,1.0,4.0,,,3439.0,3439.0,,,,,6037.0,,4.0,,,,2.0,33864663.0,-118382150.0,5012.0,,,,,,0100,261.0,RBR-1,60376207.023011,33612.0,3101.0,,96124.0,0.0,,,,1.0,,,1997.0,,,382365.0,656436.0,2015.0,274071.0,8267.63,0,,60376207023011.0,1995-1999,2,1994-1997,656.0,1995-1997,7 1995-1997
113521,12956882,1.0,,,7.0,6.0,,10.0,7.0,,,7819.0,7819.0,,,,,6037.0,,7.0,,,,2.0,34157877.0,-118019980.0,39667.0,1.0,,,,1.0,0101,261.0,MORF*,60374304.001016,32923.0,3101.0,,96267.0,0.0,,,,1.0,,,2006.0,,,2432600.0,6175000.0,2015.0,3742400.0,73542.02,0,,60374304001016.0,2005-2009,4,2003-2006,6175.0,2005-2007,2 2005-2007
358845,17153497,,,,2.5,3.0,,,2.5,66.0,1567.0,3256.0,3256.0,,,1567.0,,6111.0,1.0,2.0,2.0,631.0,,,34185697.0,-119228442.0,5100.0,,,,,,1111,261.0,,61110036.093015,13150.0,2061.0,,97106.0,8.0,,1.0,,,107.0,,2005.0,2.0,,653000.0,1298000.0,2015.0,645000.0,22213.94,0,,61110036093015.0,2005-2009,4,2003-2006,1298.0,2003-2005,3 2003-2005
597448,12574534,1.0,,,3.0,4.0,,4.0,3.0,,,2286.0,2286.0,,,,,6037.0,,3.0,,,,2.0,33868595.0,-118251018.0,3731.0,,,,,,0100,261.0,CASP-4*,60375433.211014,10723.0,3101.0,,96230.0,0.0,,,,1.0,,,2000.0,,,213000.0,478000.0,2015.0,265000.0,7383.14,0,,60375433211014.0,2000-2004,3,1997-2000,478.0,1999-2001,5 1999-2001
320961,14625983,,,,1.5,1.0,,,1.5,,,1099.0,1099.0,,,,,6059.0,,1.0,1.0,0.0,,,33697690.0,-117754404.0,,,,,,,1,266.0,,60590524.183053,52650.0,1286.0,403197.0,96954.0,0.0,,1.0,,,,,2005.0,,,183864.0,425000.0,2015.0,241136.0,7251.16,0,,60590524183053.0,2005-2009,4,2003-2006,425.0,2003-2005,3 2003-2005
616842,14625115,,,,2.5,3.0,,,2.5,,,1702.0,1702.0,,,,,6059.0,,2.0,2.0,0.0,,,33903731.0,-117802095.0,,,,,,,1,266.0,,60590218.222004,21412.0,1286.0,,97078.0,0.0,,1.0,,,,,2005.0,,,329332.0,460630.0,2015.0,131298.0,5764.38,0,,60590218222004.0,2005-2009,4,2003-2006,460.0,2003-2005,3 2003-2005
138801,14609490,,,,4.5,4.0,,,4.5,,,2655.0,2655.0,,,,,6059.0,,4.0,2.0,0.0,,,33706084.0,-117720491.0,,,,,,,1,266.0,,60590524.262114,52650.0,1286.0,403196.0,96952.0,0.0,,1.0,,,,,2009.0,,,444971.0,755896.0,2015.0,310925.0,11900.68,0,,60590524262073.0,2005-2009,4,2006-2009,755.0,2007-2009,1 2007-2009
248146,17194437,,,,4.0,4.0,,,4.0,,1462.0,3143.0,3143.0,,,1462.0,,6111.0,1.0,4.0,2.0,632.0,,,34173808.0,-118969605.0,6275.0,,,,,,1111,261.0,,61110058.022,34278.0,2061.0,46736.0,96351.0,9.0,,,,,244.0,,2001.0,2.0,,556909.0,928181.0,2015.0,371272.0,10169.1,0,,61110058022000.0,2000-2004,3,2000-2003,928.0,1999-2001,5 1999-2001
126495,17236855,,,,4.5,5.0,,,4.5,66.0,1979.0,4259.0,4259.0,,,1979.0,,6111.0,4.0,4.0,2.0,457.0,,,34294649.0,-118686200.0,10037.0,,,,,,1111,261.0,,61110083.051017,27110.0,2061.0,,97116.0,11.0,,1.0,,,137.0,,1998.0,2.0,,457231.0,914462.0,2015.0,457231.0,10146.5,0,,61110083051017.0,1995-1999,2,1997-2000,914.0,1997-1999,6 1997-1999
413070,17272301,,,,3.5,4.0,,,3.5,,1207.0,2742.0,2742.0,,,1207.0,,6111.0,1.0,3.0,2.0,546.0,,,34192760.0,-118914674.0,5316.0,,,,,,1111,261.0,,61110061.001019,34278.0,2061.0,46736.0,96351.0,8.0,,1.0,,,330.0,,1997.0,2.0,,281846.0,466288.0,2015.0,184442.0,5074.74,0,,61110061001019.0,1995-1999,2,1994-1997,466.0,1995-1997,7 1995-1997
62379,12766433,1.0,,,3.0,4.0,,4.0,3.0,,,1544.0,1544.0,,,,,6037.0,,3.0,,,,2.0,34057948.0,-118015970.0,1769.0,,,,,,010D,269.0,EMR3YY,60374339.011004,51861.0,3101.0,,96479.0,0.0,,,,1.0,,,2003.0,,,184252.0,326449.0,2015.0,142197.0,4469.12,0,,60374339011004.0,2000-2004,3,2000-2003,326.0,2001-2003,4 2001-2003
455669,14719590,,,,2.5,3.0,,,2.5,,,1996.0,1996.0,,,,,6059.0,,2.0,2.0,0.0,,,33780111.0,-117836415.0,,,,,,,34,266.0,,60590758.062002,33252.0,1286.0,,97064.0,0.0,,1.0,,,,,1996.0,,,233957.0,530382.0,2015.0,296425.0,6647.22,0,,60590758062000.0,1995-1999,2,1994-1997,530.0,1995-1997,7 1995-1997
343678,11570056,1.0,,,3.0,2.0,,10.0,3.0,,,1634.0,1634.0,,,,,6037.0,,3.0,,,,2.0,34050400.0,-118467000.0,31465.0,,,,,,010C,266.0,LAR3,60372643.011004,12447.0,3101.0,113910.0,96030.0,0.0,,,,1.0,,,2004.0,,,389248.0,921122.0,2015.0,531874.0,11266.85,0,,,2000-2004,3,2003-2006,921.0,2003-2005,3 2003-2005
12116,12218344,,,,2.0,4.0,,7.0,2.0,,,1348.0,1348.0,,,,,6037.0,,2.0,,,,2.0,33949465.0,-118251002.0,3960.0,,,,,,0100,261.0,LCR2,60375352.003001,396053.0,3101.0,,95983.0,0.0,,,,1.0,,,1998.0,,,112380.0,209382.0,2015.0,97002.0,2924.18,0,,60375352003001.0,1995-1999,2,1997-2000,209.0,1997-1999,6 1997-1999
90282,14401471,,,,3.5,4.0,,,3.5,,,3913.0,3913.0,,,,,6059.0,,3.0,2.0,452.0,,,33554382.0,-117756479.0,6699.0,,,,,,1,261.0,,60590626.322005,52842.0,1286.0,,96969.0,0.0,,1.0,,,,,2008.0,,,814742.0,1632548.0,2015.0,817806.0,17729.56,0,,60590626322005.0,2005-2009,4,2006-2009,1632.0,2007-2009,1 2007-2009
550291,12574469,,,,3.0,4.0,,4.0,3.0,,,1831.0,1831.0,,,,,6037.0,,3.0,,,,,33867816.0,-118253914.0,42955.0,,,,,,010C,266.0,CASP-4*,60375433.211021,10723.0,3101.0,,96230.0,0.0,,,,1.0,,,2003.0,,,164000.0,427000.0,2015.0,263000.0,5336.43,0,,60375433211021.0,2000-2004,3,2000-2003,427.0,2001-2003,4 2001-2003
246547,11232628,1.0,,,3.0,4.0,,4.0,3.0,,,3026.0,3026.0,,,,,6037.0,,3.0,,,,2.0,34547325.0,-118028846.0,7014.0,,,,,,0100,261.0,PDR1-7000*,60379107.061016,40227.0,3101.0,,97330.0,0.0,,,,1.0,,,1997.0,,,151410.0,186765.0,2015.0,35355.0,5519.81,0,,60379107061016.0,1995-1999,2,1994-1997,186.0,1995-1997,7 1995-1997
620087,11172060,1.0,,,1.0,1.0,,4.0,1.0,,,740.0,740.0,,,,,6037.0,,1.0,,,,2.0,34419900.0,-118564000.0,81699.0,,,,,,010E,266.0,SCCR,60379203.281001,54311.0,3101.0,48200.0,96378.0,0.0,,,,1.0,,,2003.0,,,104510.0,167215.0,2015.0,62705.0,2700.04,0,,60379203281001.0,2000-2004,3,2000-2003,167.0,2001-2003,4 2001-2003
284450,11328684,1.0,,,4.0,3.0,,1.0,4.0,,,3210.0,3210.0,,,,,6037.0,,4.0,,,,2.0,34515915.0,-118305607.0,88475.0,1.0,,,,1.0,0101,261.0,LCA21-A110,60379108.131052,,3101.0,,96403.0,0.0,,,,1.0,,,2003.0,,,341000.0,638000.0,2015.0,297000.0,13095.36,0,,60379108131052.0,2000-2004,3,2000-2003,638.0,2001-2003,4 2001-2003
226327,12466063,1.0,,,2.0,2.0,,4.0,2.0,,,985.0,985.0,,,,,6037.0,,2.0,,,,2.0,33820900.0,-118186000.0,25561.0,,,,,,010C,266.0,LBR4N,60375720.022,46298.0,3101.0,273109.0,96241.0,0.0,,,,1.0,,,2002.0,,,135000.0,344000.0,2015.0,209000.0,4620.5,0,,60375720022000.0,2000-2004,3,2000-2003,344.0,2001-2003,4 2001-2003
42071,12528204,1.0,,,4.0,3.0,,1.0,4.0,,,6280.0,6280.0,,,,,6037.0,,4.0,,,True,2.0,33754852.0,-118126987.0,13490.0,,,1.0,,,0104,261.0,LBR1S,60375775.013005,46298.0,3101.0,116828.0,96237.0,0.0,,,,1.0,,,2008.0,,,828076.0,6286008.0,2015.0,5457932.0,77689.24,0,,60375775013005.0,2005-2009,4,2006-2009,6286.0,2007-2009,1 2007-2009
489539,13976723,,,,4.5,4.0,,,4.5,,,3569.0,3569.0,,,,,6059.0,,4.0,2.0,627.0,True,,33677921.0,-118010374.0,7251.0,1.0,,,1.0,,122,261.0,,60590993.081013,25218.0,1286.0,,96966.0,0.0,,1.0,,,,,1997.0,,,647347.0,1758907.0,2015.0,1111560.0,19701.32,0,,60590993081013.0,1995-1999,2,1994-1997,1758.0,1995-1997,7 1995-1997
412623,14755471,,,,2.5,3.0,,,2.5,,,1864.0,1864.0,,,,,6059.0,,2.0,2.0,0.0,,,33566266.0,-117698789.0,,,,,,,1,266.0,,60590423.352007,25459.0,1286.0,,96987.0,0.0,,1.0,,,,,2009.0,,,288995.0,705689.0,2015.0,416694.0,7193.9,0,,60590423352003.0,2005-2009,4,2006-2009,705.0,2007-2009,1 2007-2009
72967,10750952,1.0,,,5.0,5.0,,10.0,5.0,,,3602.0,3602.0,,,,,6037.0,,5.0,,,,2.0,34129184.0,-118710169.0,9653.0,1.0,,,,1.0,010D,269.0,LCRPD100.6,60378003.292035,37688.0,3101.0,,96336.0,0.0,,,,1.0,,,1997.0,,,658228.0,1102060.0,2015.0,443832.0,12899.17,0,,60378003292035.0,1995-1999,2,1994-1997,1102.0,1995-1997,7 1995-1997
254043,14468015,,,,2.5,3.0,,,2.5,,,1506.0,1506.0,,,,,6059.0,,2.0,2.0,473.0,,,33590507.0,-117593325.0,4000.0,,,,,,122,261.0,,60590320.452003,17597.0,1286.0,,96989.0,0.0,,1.0,,,,,1996.0,,,152824.0,270359.0,2015.0,117535.0,3011.88,0,,60590320452003.0,1995-1999,2,1994-1997,270.0,1995-1997,7 1995-1997
627004,17271816,,,,2.0,3.0,,,2.0,,2035.0,2035.0,2035.0,,,2035.0,,6111.0,1.0,2.0,2.0,575.0,,,34197772.0,-118913057.0,6288.0,,,,,,1111,261.0,,61110061.001026,34278.0,2061.0,46736.0,96351.0,7.0,,,,,336.0,,1998.0,1.0,,322266.0,534263.0,2015.0,211997.0,5790.86,0,,61110061001026.0,1995-1999,2,1997-2000,534.0,1997-1999,6 1997-1999
370320,13976722,,,,4.5,4.0,,,4.5,,,3574.0,3574.0,,,,,6059.0,,4.0,2.0,627.0,,,33677823.0,-118010548.0,8023.0,,,,,,122,261.0,,60590993.081013,25218.0,1286.0,,96966.0,0.0,,1.0,,,,,1997.0,,,496608.0,1023187.0,2015.0,526579.0,11573.34,0,,60590993081013.0,1995-1999,2,1994-1997,1023.0,1995-1997,7 1995-1997
320554,10784689,1.0,,,3.0,4.0,,4.0,3.0,,,1739.0,1739.0,,,,,6037.0,,3.0,,,,2.0,34200200.0,-118546000.0,88994.0,1.0,,,,1.0,012C,266.0,LARD3,60371325.011002,12447.0,3101.0,40548.0,96364.0,0.0,,,,1.0,,,2001.0,,,166000.0,415000.0,2015.0,249000.0,4995.15,0,,60371325011002.0,2000-2004,3,2000-2003,415.0,1999-2001,5 1999-2001
506222,11186269,1.0,,,4.0,5.0,,4.0,4.0,,,3495.0,3495.0,,,,,6037.0,,4.0,,,,2.0,34621161.0,-118184627.0,6152.0,1.0,,,,1.0,0101,261.0,PDSP*,60379102.101,40227.0,3101.0,,97329.0,0.0,,,,1.0,,,2002.0,,,336900.0,402000.0,2015.0,65100.0,6369.52,0,,60379102101000.0,2000-2004,3,2000-2003,402.0,2001-2003,4 2001-2003
128265,14682185,,,,2.5,3.0,,,2.5,,,1585.0,1585.0,,,,,6059.0,,2.0,1.0,0.0,,,33666056.0,-117783818.0,,,,,,,34,266.0,,60590525.173012,52650.0,1286.0,274828.0,96952.0,0.0,,1.0,,,,,1998.0,,,213917.0,641183.0,2015.0,427266.0,8125.38,0,,60590525173012.0,1995-1999,2,1997-2000,641.0,1997-1999,6 1997-1999
286179,11931483,1.0,,,3.0,4.0,,4.0,3.0,,,2397.0,2397.0,,,,,6037.0,,3.0,,,,2.0,34087054.0,-118077783.0,4302.0,,,,,,0100,261.0,RMR3YY*,60374322.011013,54212.0,3101.0,,96510.0,0.0,,,,1.0,,,2003.0,,,373824.0,676669.0,2015.0,302845.0,8462.32,0,,60374322011013.0,2000-2004,3,2000-2003,676.0,2001-2003,4 2001-2003
11877,11136721,1.0,,,3.0,4.0,,4.0,3.0,,,2997.0,2997.0,,,,,6037.0,,3.0,,,,2.0,34382915.0,-118581314.0,15765.0,,,,,,0100,261.0,LCA25*,60379203.261026,,3101.0,,96395.0,0.0,,,,1.0,,,2003.0,,,298480.0,596960.0,2015.0,298480.0,10331.06,0,,60379203261026.0,2000-2004,3,2000-2003,596.0,2001-2003,4 2001-2003
37425,11424653,1.0,,,3.0,3.0,,1.0,3.0,,,1818.0,1818.0,,,,,6037.0,,3.0,,,,2.0,33910121.0,-118341684.0,2053.0,,,,,,010D,269.0,HAR3,60376025.082002,42150.0,3101.0,,96107.0,0.0,,,,1.0,,,2006.0,,,156000.0,392000.0,2015.0,236000.0,6136.95,0,,60376025082002.0,2005-2009,4,2003-2006,392.0,2005-2007,2 2005-2007
405641,14463279,,,,4.0,5.0,,,4.0,,,3465.0,3465.0,,,,,6059.0,,4.0,2.0,630.0,True,,33570031.0,-117631852.0,6846.0,1.0,,,1.0,,122,261.0,,60590320.572018,52835.0,1286.0,,96998.0,0.0,,,,,,,2000.0,,,646997.0,1044161.0,2015.0,397164.0,15770.0,0,,60590320572018.0,2000-2004,3,1997-2000,1044.0,1999-2001,5 1999-2001
157396,14603553,,,,2.0,2.0,,,2.0,,,1052.0,1052.0,,,,,6059.0,,2.0,,,,,33667397.0,-117850497.0,,,,,,,1,266.0,,60590626.102134,52650.0,1286.0,273096.0,96947.0,0.0,,,,,,,2006.0,,,213454.0,429000.0,2015.0,215546.0,4848.4,0,,60590626102133.0,2005-2009,4,2003-2006,429.0,2005-2007,2 2005-2007
48795,14000747,,,,2.0,3.0,,,2.0,,,2023.0,2023.0,,,,,6059.0,,2.0,2.0,467.0,,,33788908.0,-118070034.0,7620.0,,,,,,122,261.0,,60591100.152017,46314.0,1286.0,,96218.0,7.0,,,,,,,2002.0,1.0,,208205.0,261195.0,2015.0,52990.0,3316.08,0,,60591100152017.0,2000-2004,3,2000-2003,261.0,2001-2003,4 2001-2003
459229,14155459,,,,3.0,3.0,,,3.0,,,2493.0,2493.0,,,,,6059.0,,3.0,2.0,426.0,,,33933316.0,-117907396.0,3522.0,,,,,,1,261.0,,60590015.012041,17150.0,1286.0,,97035.0,0.0,,,,,,,2003.0,,,383376.0,693340.0,2015.0,309964.0,9114.24,0,,60590015012041.0,2000-2004,3,2000-2003,693.0,2001-2003,4 2001-2003
315913,11658789,1.0,,,5.0,5.0,,10.0,5.0,,,4335.0,4335.0,,,,,6037.0,,5.0,,,,2.0,34060111.0,-118476658.0,7500.0,,,,,,0100,261.0,LAR1,60372623.022001,12447.0,3101.0,113910.0,96030.0,0.0,,,,1.0,,,2006.0,,,1159581.0,3606618.0,2015.0,2447037.0,43954.09,0,,60372623022001.0,2005-2009,4,2003-2006,3606.0,2005-2007,2 2005-2007
608080,10758359,1.0,,,5.0,5.0,,1.0,5.0,,,3646.0,3646.0,,,,,6037.0,,5.0,,,,2.0,34156278.0,-118614545.0,42967.0,,,,,,0100,261.0,LARE40,60371374.013008,12447.0,3101.0,48570.0,96387.0,0.0,,,,1.0,,,1996.0,,,366295.0,559805.0,2015.0,193510.0,7278.36,0,,60371374013008.0,1995-1999,2,1994-1997,559.0,1995-1997,7 1995-1997
408814,11068141,1.0,,,3.0,4.0,,4.0,3.0,,,2857.0,2857.0,,,,,6037.0,,3.0,,,,2.0,34275084.0,-118579496.0,5593.0,,,,,,010D,269.0,LARZ4,60371082.021026,12447.0,3101.0,275078.0,96356.0,0.0,,,,1.0,,,2000.0,,,409956.0,741078.0,2015.0,331122.0,9128.72,0,,60371082021026.0,2000-2004,3,1997-2000,741.0,1999-2001,5 1999-2001
531222,14680932,,,,2.5,2.0,,,2.5,,,1183.0,1183.0,,,,,6059.0,,2.0,2.0,0.0,,,33668440.0,-117782738.0,,,,,,,34,266.0,,60590525.172017,52650.0,1286.0,274828.0,96952.0,0.0,,1.0,,,,,1998.0,,,144317.0,241695.0,2015.0,97378.0,3425.9,0,,60590525172017.0,1995-1999,2,1997-2000,241.0,1997-1999,6 1997-1999
553264,14631596,,,,2.5,3.0,,,2.5,,,1368.0,1368.0,,,,,6059.0,,2.0,2.0,0.0,,,33730461.0,-117778679.0,,,,,,,1,266.0,,60590524.203059,52650.0,1286.0,274371.0,96939.0,0.0,,1.0,,,,,2001.0,,,147677.0,407590.0,2015.0,259913.0,5039.36,0,,60590524203059.0,2000-2004,3,2000-2003,407.0,1999-2001,5 1999-2001
245352,11491171,,,,3.0,4.0,,1.0,3.0,,,1940.0,1940.0,,,,,6037.0,,3.0,,,,2.0,33871201.0,-118364181.0,7500.0,,,,,,010C,266.0,RBR4YY,60376206.012002,33612.0,3101.0,,96124.0,0.0,,,,1.0,,,2005.0,,,106000.0,760000.0,2015.0,654000.0,9592.61,0,,60376206012002.0,2005-2009,4,2003-2006,760.0,2003-2005,3 2003-2005
375445,17226157,,,,4.0,0.0,,,4.0,,1471.0,2917.0,2917.0,,,1471.0,,6111.0,3.0,4.0,2.0,612.0,,,34237086.0,-118790444.0,6059.0,,,,,,1111,261.0,,61110075.073,27110.0,2061.0,,97118.0,4.0,,,,,932.0,,1999.0,2.0,,366202.0,595336.0,2015.0,229134.0,6794.54,0,,61110075073000.0,1995-1999,2,1997-2000,595.0,1997-1999,6 1997-1999
224044,17226161,,,,4.0,5.0,,,4.0,,1373.0,2750.0,2750.0,,,1373.0,,6111.0,1.0,4.0,2.0,595.0,,,34237658.0,-118789858.0,18305.0,,,,,,1111,261.0,,61110075.073,27110.0,2061.0,,97118.0,9.0,,,,,,,1999.0,2.0,,348366.0,696732.0,2015.0,348366.0,7891.22,0,,61110075073000.0,1995-1999,2,1997-2000,696.0,1997-1999,6 1997-1999
