ResponseId,Education,Education (reversed),Salary,MainBranch,Employment,RemoteWork,CodingActivities,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,DevType,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,YearsCodePro,YearsCode
193,4 Bachelor's,2 Bachelor's,110,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Engineer, data",20 to 99 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,15-Oct
194,1 Secondary,5 Secondary,70,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, back-end",100 to 499 employees,United States of America,18-24 years old,Man,No,Gay or Lesbian,White;North American,0-5,15-Oct
205,5 Master's,1 Master's,100,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,Technical documentation,,"Developer, back-end",500 to 999 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;North American,0-5,15-Oct
206,3 Associate,3 Associate,120,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
211,4 Bachelor's,2 Bachelor's,100,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,Technical documentation,,"Developer, front-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;North American,10-May,15-Oct
215,4 Bachelor's,2 Bachelor's,75,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,Codecademy,Data scientist or machine learning specialist,"5,000 to 9,999 employees",United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
223,4 Bachelor's,2 Bachelor's,147,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, back-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-20
224,4 Bachelor's,2 Bachelor's,172,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack",100 to 499 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,,0-5,10-May
226,4 Bachelor's,2 Bachelor's,101,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",20 to 99 employees,United States of America,35-44 years old,Woman,No,Straight / Heterosexual,White,15-Oct,15-20
229,3 Associate,3 Associate,120,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
233,3 Associate,3 Associate,160,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,I don't code outside o,"School (i.e., University, College, etc)",,,"Engineer, data","10,000 or more employees",United States of America,35-44 years old,Woman,No,Prefer not to say,White,15-20,20-25
234,4 Bachelor's,2 Bachelor's,175,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,,,"Developer, full-stack",100 to 499 employees,United States of America,25-34 years old,Woman,No,Straight / Heterosexual,Hispanic or Latino/a,0-5,10-May
240,2 College study,4 College study,100,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, back-end",2 to 9 employees,United States of America,65 years or older,Man,No,Straight / Heterosexual,North American,45-50,45-50
247,4 Bachelor's,2 Bachelor's,75,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, front-end",10 to 19 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
248,4 Bachelor's,2 Bachelor's,250,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Books / Physical media,Technical documentation,Coursera,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,20-25,25-30
274,4 Bachelor's,2 Bachelor's,140,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Books / Physical media,,,"Engineer, site reliability","1,000 to 4,999 employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White;European;North American;Multiracial;Indigenous (such as Native American or Indigenous Australian),20-25,35-40
279,4 Bachelor's,2 Bachelor's,67,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, front-end",100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,0-5,0-5
281,4 Bachelor's,2 Bachelor's,315,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,,"Developer, back-end","10,000 or more employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
289,4 Bachelor's,2 Bachelor's,150,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"School (i.e., University, College, etc)",,,Data scientist or machine learning specialist,100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
291,4 Bachelor's,2 Bachelor's,83,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,Books / Physical media,Technical documentation,Udemy,"Developer, full-stack","1,000 to 4,999 employees",United States of America,18-24 years old,Man,No,Straight / Heterosexual,North American,0-5,10-May
300,4 Bachelor's,2 Bachelor's,104,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, front-end",100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,European;North American,10-May,10-May
303,4 Bachelor's,2 Bachelor's,155,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack",20 to 99 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
306,1 Secondary,5 Secondary,2250,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Udemy,"Developer, front-end",2 to 9 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
308,4 Bachelor's,2 Bachelor's,206,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, back-end",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,10-May,15-20
309,4 Bachelor's,2 Bachelor's,2250,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, back-end",100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
313,4 Bachelor's,2 Bachelor's,45,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Coding Bootcamp,,,"Developer, front-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,0-5,0-5
316,4 Bachelor's,2 Bachelor's,130,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,Codecademy,"Engineer, data",100 to 499 employees,United States of America,25-34 years old,Man,No,Gay or Lesbian,White,0-5,0-5
317,2 College study,4 College study,230,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects,Books / Physical media,Technical documentation,,"Developer, back-end","5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,,White,10-May,15-20
318,4 Bachelor's,2 Bachelor's,155,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Coursera,"Developer, full-stack","1,000 to 4,999 employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-20
332,4 Bachelor's,2 Bachelor's,130,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Engineer, site reliability",100 to 499 employees,United States of America,18-24 years old,Man,No,Bisexual,White,0-5,15-Oct
338,4 Bachelor's,2 Bachelor's,80,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, desktop or enterprise applications",100 to 499 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,0-5
345,4 Bachelor's,2 Bachelor's,240,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Friend or family member,,,"Developer, back-end","10,000 or more employees",United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,15-Oct
348,5 Master's,1 Master's,100,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"School (i.e., University, College, etc)",,Other,"Developer, full-stack",500 to 999 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,"White;Or, in your own words:",0-5,15-20
349,4 Bachelor's,2 Bachelor's,75,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
357,5 Master's,1 Master's,120,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Blogs,Udemy,"Developer, mobile","1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,0-5
358,4 Bachelor's,2 Bachelor's,160,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Engineer, data",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,Prefer not to say,15-20,25-30
360,6 Doctorate,0 Doctorate,175,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, embedded applications or devices","10,000 or more employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White;North American,30-35,35-40
362,4 Bachelor's,2 Bachelor's,150,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",20 to 99 employees,United States of America,25-34 years old,Man,No,Bisexual,White,15-Oct,15-20
364,2 College study,4 College study,120,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-Oct
365,5 Master's,1 Master's,210,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,,,"Developer, desktop or enterprise applications","10,000 or more employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,Indian,15-20,25-30
367,6 Doctorate,0 Doctorate,350,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Books / Physical media,Technical documentation,Coursera,"Engineer, data","1,000 to 4,999 employees",United States of America,65 years or older,Man,No,Straight / Heterosexual,White,35-40,45-50
368,4 Bachelor's,2 Bachelor's,109,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,Data scientist or machine learning specialist,"5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
369,4 Bachelor's,2 Bachelor's,70,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, front-end","1,000 to 4,999 employees",United States of America,18-24 years old,Man,No,Prefer not to say,Prefer not to say,0-5,10-May
371,3 Associate,3 Associate,150,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,Technical documentation,,"Developer, front-end",10 to 19 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;European;North American;Multiracial;Biracial,15-Oct,15-20
373,4 Bachelor's,2 Bachelor's,100,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Engineer, data","10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
382,4 Bachelor's,2 Bachelor's,96,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,I don't code outside o,"School (i.e., University, College, etc)",,Codecademy,"Developer, front-end",500 to 999 employees,United States of America,55-64 years old,Woman,No,Straight / Heterosexual,White,15-Oct,15-20
383,2 College study,4 College study,52,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Written Tutorials,,"Developer, back-end",100 to 499 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
386,4 Bachelor's,2 Bachelor's,160,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Developer, front-end",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;North American,20-25,20-25
388,4 Bachelor's,2 Bachelor's,124,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack","5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
392,4 Bachelor's,2 Bachelor's,205,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
395,2 College study,4 College study,100,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Friend or family member,Technical documentation,,"Developer, back-end",20 to 99 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
405,4 Bachelor's,2 Bachelor's,76,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,Books / Physical media,Technical documentation,Udemy,"Developer, full-stack",100 to 499 employees,United States of America,18-24 years old,"Non-binary, genderqueer, or gender non-conforming",No,Gay or Lesbian,White,0-5,0-5
406,4 Bachelor's,2 Bachelor's,115,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;North American,10-May,15-20
407,3 Associate,3 Associate,200,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Friend or family member,Technical documentation,,Data scientist or machine learning specialist,100 to 499 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,North American,10-May,15-Oct
420,4 Bachelor's,2 Bachelor's,86,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,Written Tutorials,,"Developer, front-end",20 to 99 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;European,15-Oct,15-20
423,4 Bachelor's,2 Bachelor's,165,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,Codecademy,"Developer, full-stack","10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
424,4 Bachelor's,2 Bachelor's,350,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,I don't code outside o,Books / Physical media,,,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
427,2 College study,4 College study,160,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, back-end","1,000 to 4,999 employees",United States of America,18-24 years old,Man,No,Straight / Heterosexual,Asian,0-5,10-May
428,5 Master's,1 Master's,145,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,DevOps specialist,100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,,0-5,10-May
430,3 Associate,3 Associate,80,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, front-end",20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
433,4 Bachelor's,2 Bachelor's,96,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Freelance/contract work,"School (i.e., University, College, etc)",,,"Developer, front-end","5,000 to 9,999 employees",United States of America,25-34 years old,Woman,No,Prefer not to say,White,0-5,10-May
437,2 College study,4 College study,55,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,Books / Physical media,Technical documentation,Coursera,"Developer, front-end",500 to 999 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,0-5
441,4 Bachelor's,2 Bachelor's,158,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects,Books / Physical media,Technical documentation,Udemy,Data scientist or machine learning specialist,100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;European;North American,0-5,15-Oct
442,4 Bachelor's,2 Bachelor's,350,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, mobile","10,000 or more employees",United States of America,25-34 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,Bisexual;Queer,White,10-May,15-Oct
444,6 Doctorate,0 Doctorate,90,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack",10 to 19 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,15-Oct
448,4 Bachelor's,2 Bachelor's,150,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, front-end",20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;North American,10-May,15-Oct
461,2 College study,4 College study,75,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Friend or family member,Technical documentation,,"Developer, back-end","1,000 to 4,999 employees",United States of America,18-24 years old,Man,No,Bisexual,White,0-5,10-May
469,2 College study,4 College study,120,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
471,5 Master's,1 Master's,140,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Friend or family member,Technical documentation,Codecademy,Data scientist or machine learning specialist,"10,000 or more employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
475,5 Master's,1 Master's,320,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Friend or family member,Technical documentation,,"Developer, front-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,Asian;South Asian,15-Oct,15-20
484,5 Master's,1 Master's,200,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, back-end",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,North African,15-20,25-30
489,4 Bachelor's,2 Bachelor's,160,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,,"Developer, full-stack",2 to 9 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,25-30
491,5 Master's,1 Master's,110,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, front-end","5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
